29/09/2022 13:54:24,29/09/2022 13:57:46,Time Played: 00:03:21.2329186,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 13:57:54,29/09/2022 13:58:06,Time Played: 00:00:12.7002400,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 13:58:17,29/09/2022 13:59:10,Time Played: 00:00:53.2296235,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 13:59:20,29/09/2022 14:00:46,Time Played: 00:01:25.5776309,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:00:56,29/09/2022 14:01:08,Time Played: 00:00:11.9749943,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:01:30,29/09/2022 14:01:37,Time Played: 00:00:06.6661483,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:02:15,29/09/2022 14:02:23,Time Played: 00:00:08.7419554,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:02:50,29/09/2022 14:03:00,Time Played: 00:00:09.5052598,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:03:21,29/09/2022 14:04:01,Time Played: 00:00:39.7956038,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:04:07,29/09/2022 14:04:13,Time Played: 00:00:06.1604548,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:04:28,29/09/2022 14:04:33,Time Played: 00:00:05.0125146,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:05:09,29/09/2022 14:05:13,Time Played: 00:00:04.3021544,Player Coins: 0,Current XP Lvl: 0,Level Reached: 1
29/09/2022 14:05:19,29/09/2022 14:06:16,Time Played: 00:00:57.1793936,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
29/09/2022 14:07:11,29/09/2022 14:08:37,Time Played: 00:01:26.1256758,Player Coins: 157,Current XP Lvl: 3,Level Reached: 1
